trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
13 May 2015,,"[[u'Dublin Zoo', u'National Gallery Of Ireland', u'O-connell Street'], [u'St Stephens Greens', u'Temple Bar Company', u'Trinity College Dublin', u'Dublin Castle'], [u'General Post Office', u'Georgian Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology'], [u'Guinness Storehouse', u'The Governor And Co Of Bank Of Ireland', u'Glendalough'], [u'National Museum Of Ireland Decorative Arts And History', u'Henry Street', u'Nassau Street'], [u'St Patricks Cathedral', u'Phoenix Park', u'Grafton Street'], [u'Edinburgh Farmers Market', u'The Scott Monument', u'Palace Of Holyroodhouse', u'Buchanan Street'], [u'Edinburgh Castle', u'Calton Hill'], [u'National Museum Of Scotland', u'Hopetoun House', u'Scotch Whisky Heritage Centre'], [u'Our Dynamic Earth', u'Scottish National Portrait Gallery', u'Edinburgh Dungeon', u'Greyfriars Kirkyard', u'Royal Yacht Britannia'], [u'Kelvingrove Art Gallery And Museum', u'Royal Botanic Garden Edinburgh', u'Edinburgh Zoo'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Westminster Abbey', u'Tate Modern', u'Piccadilly Circus'], [u'Trafalgar Square', u'Madame Tussauds Museum', u'Cutty Sark'], [u'Harrods', u'Tower Of London', u'Canary Wharf'], [u'Kensington Palace', u'The London Eye', u'Tower Bridge', u'Palace Of Westminster']]",28 May 2015,"[u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin', [u'Edinburgh', u'Glasgow'], u'Edinburgh', u'Edinburgh', u'Edinburgh', [u'Edinburgh', u'Glasgow'], u'London', u'London', u'London', u'London', u'London']"
04 Sep 2015,,"[[u'Churchill War Rooms', u'The London Eye', u'Tower Of London'], [u'Tower Bridge', u'Madame Tussauds Museum', u'Palace Of Westminster', u'Hyde Park'], [u'Harrods', u'Buckingham Palace London', u'Big Ben London'], [u'The Circus And The Royal Crescent', u'Mermaid Quay', u'Roman Baths Museum', u'St. Fagans - National History Museum'], [u'Cardiff Castle', u'Bath Abbey', u'Thermae Bath Spa'], [u'Caerphilly Mountain', u'Sally Lunns Historic Museum And Eating House', u'Castell Coch', u'Millennium Stadium', u'Doctor Who Experience Cardiff Bay'], [u'Guinness Storehouse', u'National Gallery Of Ireland', u'St Patricks Cathedral', u'Temple Bar Company'], [u'St Stephens Greens', u'Grafton Street', u'National Museum Of Ireland Decorative Arts And History'], [u'General Post Office', u'Phoenix Park', u'Dublin Castle'], [u'Edinburgh Castle', u'Kelvingrove Art Gallery And Museum', u'Merchant City'], [u'Stirling Castle', u'Glasgow Cathedral', u'Scottish National Portrait Gallery', u'The Horseshoe Bar', u'Glasgow Botanical Gardens'], [u'Palace Of Holyroodhouse', u'Greyfriars Kirkyard', u'Pollock Country Park'], [u'University Of Glasgow', u'Loch Lomond', u'The Royal Mile', u'Our Dynamic Earth'], [u'Scottish National Gallery', u'Glasgow Science Centre', u'The Rogano'], [u'National Museum Of Scotland', u'Edinburgh Zoo'], [u'House For An Art Lover', u'Glasgow School Of Art', u'Edinburgh Dungeon', u'The Nelson Monument'], [u'Royal Yacht Britannia', u'Royal Botanic Garden Edinburgh', u'Scotch Whisky Heritage Centre', u'The Scott Monument', u'Sharmanka'], [u'Riverside Museum', u'Mansfield Traquair Centre', u'Calton Hill'], [u'Peoples Palace', u'Scottish Mining Museum', u'The Lighthouse', u'Holmwood House'], [u'Glasgow City Chambers', u'Hopetoun House', u'Glasgow West End']]",23 Sep 2015,"[u'London', u'London', u'London', [u'Bath', u'Cardiff'], [u'Bath', u'Cardiff'], [u'Bath', u'Cardiff'], u'Dublin', u'Dublin', u'Dublin', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], u'Edinburgh', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow']]"
15 Sep 2015,,"[[u'Guinness Storehouse', u'Dublin Castle', u'National Gallery Of Ireland', u'Nassau Street'], [u'St Stephens Greens', u'Temple Bar Company', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology'], [u'Madame Tussauds Museum', u'Oxford Street', u'Buckingham Palace London', u'Big Ben London'], [u'Westminster Abbey', u'The London Eye', u'Harrods'], [u'Rijksmuseum', u'Anne Frank House', u'Heineken Experience', u'Amsterdam Canals'], [u'De Wallen', u'Dam Square', u'Vondelpark', u'Van Gogh Museum', u'Concertgebouw'], [u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'Grand Palais', u'Champs Elysees'], [u'Jardin Du Luxembourg', u'Eiffel Tower', u'Catacombs Of Paris'], [u'Sforza Castle', u'Parco Civico', u'Academia Carrarra Di Bella Arti Di '], [u'Funicular Railway', u'Cathedral Of Como', u'Gallery Of Vittorio Emanuele II', u'Basilica Of San Fedele', u'Piazza Della Riforma'], [u'San Marco Convent Church And Museum', u'Basilica Di Santa Maria Del Fiore', u'Uffizi Gallery', u'Ponte Vecchio'], [u'Palazzo Pitti', u'Basilica Di San Lorenzo', u'Piazzale Michelangelo'], [u'Camp Nou', u'Barcelona Aquarium', u'Casa Mila', u'Barcelona Cathedral'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Centro De Arte Reina Sofia', u'The Prado Museum', u'Plaza Mayor'], [u'El Rastro', u'Jardins Do Templo De Debod', u'Plaza De La Villa'], [u'Archivo General De Indias', u'The Alcazar', u'Torre Del Oro Or Gold Tower'], [u'Museo De Bellas Artes', u'Plaza De Toros De La Maestranza', u'Plaza De Espana'], [u'Jeronimos Monastery', u'St Georges Castle', u'Sao Roque Church And Museum'], [u'Central Mosque Of Lisbon', u'Belem Tower', u'Alfama District']]",04 Oct 2015,"[u'Dublin', u'Dublin', u'London', u'London', u'Amsterdam', u'Amsterdam', u'Paris', u'Paris', [u'Lugano', u'Milan', u'Bergamo'], [u'Lugano', u'Milan', u'Como'], u'Florence', u'Florence', u'Barcelona', u'Barcelona', u'Madrid', u'Madrid', u'Seville', u'Seville', u'Lisbon', u'Lisbon']"
27 Aug 2014,53867a80e705455b7d00001c,"[[u'The London Eye', u'Buckingham Palace London', u'Tower Bridge'], [u'Louvre Museum', u'Louvre Pyramid'], [u'Natural History Museum', u'Tower Of London', u'National Gallery'], [u'Guinness Storehouse', u'St Patricks Cathedral', u'Dublin Castle', u'Trinity College Dublin', u'Glendalough']]",06 Sep 2014,"London,Paris,London,Dublin"
08 Mar 2015,,"[[u'Buckingham Palace London', u'Big Ben London', u'Natural History Museum'], [u'Tower Of London', u'Tate Modern', u'The London Eye'], [u'Trafalgar Square', u'Canary Wharf', u'London Aquarium', u'Tower Bridge'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Piccadilly Circus'], [u'St Pauls Cathedral', u'Harrods', u'Palace Of Westminster'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Dublin Zoo', u'Dublin Castle', u'O-connell Street'], [u'Trinity College Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology', u'Temple Bar Company'], [u'National Museum Of Ireland Decorative Arts And History', u'The Governor And Co Of Bank Of Ireland', u'Grafton Street', u'Georgian Dublin'], [u'St Patricks Cathedral', u'National Gallery Of Ireland', u'Nassau Street', u'Henry Street'], [u'Acropolis', u'Anafiotika', u'Goulandris Museum Of Cycladic Art'], [u'Omonoia Square', u'Acropolis Museum', u'Temple Of Hephaestus', u'Byzantine Museum'], [u'Kaisariani Monastery', u'Adventure Room', u'Athens War Museum', u'Odeon Of Herodes Atticus'], [u'Panathenaic Stadium', u'Parthenon', u'Estiatorio Milos Athens'], [u'Benaki Museum', u'Ancient Agora', u'Temple Of Olympian Zeus', u'Arch Of Hadrian'], [u'Louvre Pyramid', u'Champ De Mars', u'Saint Germain Des Pres', u'Boulevard Richard-lenoir'], [u'Grand Palais', u'La Madeleine Church', u'Bateaux Parisiens River Cruise', u'Pantheon'], [u'Galeries Lafayette', u'Arc De Triomphe', u'Marais Square Of Vosges'], [u'Parc Monceau', u'Champs Elysees', u'Cafe Cinema Merci'], [u'Tour St-jacques', u'La Defense', u'Eiffel Tower']]",27 Mar 2015,"London,London,London,London,London,Dublin,Dublin,Dublin,Dublin,Dublin,Athens,Athens,Athens,Athens,Athens,Paris,Paris,Paris,Paris,Paris"
01 Dec 2015,558f62a5fbc2e52b10000717,"[[u'Muckross House', u'Ballyseedy Memorial', u'Kirbys Brogue Inn', u'Gap Of Dunloe', u'Killarney Methodist Church'], [u'Torc Mountain', u'Lakes Of Killarney', u'Wild Kerry Day Tours', u'Aghadoe Cathedral', u'St. Marys Cathedral'], [u'Ross Castle', u'The Kerry Way', u'Bin Ban Gallery', u'Killarney Grand Pub'], [u'Kilkenny Castle', u'Kells Augustinian Priory', u'Rothe House', u'Kilkenny Design Centre'], [u'Smithwick\\s Experience', u'St. John The Evangelist', u'St. Canice Cathedral'], [u'Dominican Black Abbey', u'Dunmore Cave', u'Moth To A Flame, Candle Studio', u'St Marys Cathedral', u'Jerpoint Glass Studio'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Galway Cathedral', u'Rathbaun Farm', u'St. Nicholas\\ Collegiate Church', u'Quay Street', u'Dunguaire Castle'], [u'Circle Of Life Commemorative Garden', u'Salthill Promenade', u'Galway City Museum', u'Thomas Dillon\\s Claddagh Gold', u'Eyre Square'], [u'Mamore Gap', u'Glenevin Waterfall', u'Donegal Castle', u'An Clachan Art And Craft Gallery'], [u'Slieve League', u'Malin Head', u'The Looking Glass Spa Therapy', u'The Daniel O\\donnell Visitor Centre Dungloe'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'Chelsea Market', u'Yankee Stadium'], [u'National 9-11 Memorial Museum', u'Housing Works', u'Ground Zero', u'Times Square', u'Circle Line Cruise']]",14 Dec 2015,"[[u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], u'Kilkenny', u'Kilkenny', u'Kilkenny', u'Dublin', u'Dublin', u'Galway', u'Galway', u'Donegal', u'Donegal', u'New York City', [u'New York City', u'New York']]"
22 May 2016,,"[[u'Guinness Storehouse', u'Nassau Street', u'National Gallery Of Ireland', u'Dublin Castle'], [u'St Patricks Cathedral', u'St Stephens Greens', u'Kilmainham Gaol', u'Dublin Zoo', u'Temple Bar Company'], [u'Oxford Street', u'Tower Of London', u'Kensington Palace', u'Clive Steps'], [u'Madame Tussauds Museum', u'Covent Garden', u'Zsl London Zoo', u'41 Great Russell St'], [u'Trafalgar Square', u'Harrods', u'Buckingham Palace London'], [u'The Palais Royal', u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Champ De Mars'], [u'Palais De Chaillot', u'Galeries Lafayette'], [u'Promenade Des Anglais', u'Parc Phoenix', u'Museum And Archaeological Site Cimiez'], [u'Rue De France Pedestrian Zone', u'St Nichols Russian Orthodox Cathedral', u'Oceanographic Museum', u'Musee Matisse', u'Nice Port'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Camp Nou', u'Santa Maria Del Mar', u'Jardi Botanic', u'Montjuic Communications Tower', u'Barcelona Cathedral'], [u'Poble Espanyol', u'La Boqueria', u'Castell De Montjuic', u'Casa Mila'], [u'Almudena Cathedral And Crypt', u'Royal Palace Of Madrid', u'Mercado San Miguel', u'Madrid Cable Car'], [u'Las Ventas', u'Madrid Rio', u'Parque De Atracciones'], [u'Piazza Navona', u'St Peters Basilica', u'Colosseum', u'Pantheon'], [u'Santa Maria Della Concezione', u'Santa Maria Sopra Minerva', u'Sistine Chapel', u'Spanish Steps', u'Trevi Fountain'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection'], [u'San Marco Convent Church And Museum', u'Piazza Della Signoria', u'Basilica Di Santa Maria Del Fiore'], [u'Piazza Dei Miracoli', u'Basilica Di San Lorenzo', u'Ponte Vecchio', u'Piazza Del Duomo', u'Leaning Tower Of Pisa'], [u'Mercato Centrale', u'Boboli Garden', u'Piazzale Michelangelo']]",10 Jun 2016,"[u'Dublin', u'Dublin', u'London', u'London', u'London', u'Paris', u'Paris', u'Nice', [u'Nice', u'Monaco'], u'Barcelona', u'Barcelona', u'Barcelona', u'Madrid', u'Madrid', u'Rome', [u'Rome', u'Vatican City'], u'Venice', u'Florence', [u'Pisa', u'Florence'], u'Florence']"
01 May 2015,5538e913f9c2e58b050000b7,"[[u'National Museum Of Ireland Decorative Arts And History', u'General Post Office', u'Dublin Castle', u'O-connell Street'], [u'St Patricks Cathedral', u'St Stephens Greens', u'Trinity College Dublin', u'Temple Bar Company'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Dunmore Cave', u'Dublin Zoo', u'Grafton Street'], [u'National Museum Of Ireland Archaeology', u'Henry Street', u'Glendalough'], [u'Kilmainham Gaol', u'National Gallery Of Ireland', u'Georgian Dublin'], [u'The Governor And Co Of Bank Of Ireland', u'Nassau Street'], [u'Abbey Of The Four Masters', u'Doagh Famine Village', u'Slieve League', u'Donegal Castle'], [u'The Looking Glass Spa Therapy', u'Malin Head', u'Magee Tweeds'], [u'Glenevin Waterfall', u'The Daniel O\\donnell Visitor Centre Dungloe', u'The Diamond', u'An Clachan Art And Craft Gallery'], [u'Muckish Mountain', u'Solis Lough Eske Castle Hotel And Spa', u'Mamore Gap', u'Silver Strand Beach'], [u'Lough Eske', u'Glenveagh National Park'], [u'Dunfanaghy Stables'], [u'Tory Island'], [u'Connemara National Park', u'King Johns Castle'], [u'Dolans Pub', u'Ballintubber Abbey', u'Westport House', u'Salthill Promenade'], [u'Galway Cathedral', u'Quay Street', u'Trad On The Prom'], [u'Limerick Racecourse', u'Ballycroy National Park'], [u'The Waterfront Gallery', u'Flannerys Bar', u'Eyre Square'], [u'Knock Shrine', u'Cratloe Woods', u'Redemptorist Church Or Mount Saint Alphonsus', u'Thomond Park']]",20 May 2015,"[u'Dublin', u'Dublin', u'Dublin', [u'Kilkenny', u'Dublin'], u'Dublin', u'Dublin', u'Dublin', u'Donegal', u'Donegal', u'Donegal', u'Donegal', u'Donegal', u'Donegal', u'Donegal', [u'Limerick', u'Galway'], [u'Limerick', u'Westport', u'Galway'], u'Galway', [u'Limerick', u'Westport'], [u'Limerick', u'Westport', u'Galway'], [u'Limerick', u'Westport']]"
08 Mar 2015,,"[[u'Louvre Pyramid', u'Champ De Mars', u'Saint Germain Des Pres', u'Boulevard Richard-lenoir'], [u'Grand Palais', u'La Madeleine Church', u'Bateaux Parisiens River Cruise', u'Pantheon'], [u'Galeries Lafayette', u'Arc De Triomphe', u'Marais Square Of Vosges'], [u'Parc Monceau', u'Champs Elysees', u'Cafe Cinema Merci'], [u'Tour St-jacques', u'La Defense', u'Eiffel Tower'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Tower Of London', u'Tate Modern', u'The London Eye'], [u'Trafalgar Square', u'Canary Wharf', u'London Aquarium', u'Tower Bridge'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Piccadilly Circus'], [u'St Pauls Cathedral', u'Harrods', u'Palace Of Westminster'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Dublin Zoo', u'Dublin Castle', u'O-connell Street'], [u'Trinity College Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology', u'Temple Bar Company'], [u'National Museum Of Ireland Decorative Arts And History', u'The Governor And Co Of Bank Of Ireland', u'Grafton Street', u'Georgian Dublin'], [u'St Patricks Cathedral', u'National Gallery Of Ireland', u'Nassau Street', u'Henry Street'], [u'Acropolis', u'Anafiotika', u'Goulandris Museum Of Cycladic Art'], [u'Omonoia Square', u'Acropolis Museum', u'Temple Of Hephaestus', u'Byzantine Museum'], [u'Kaisariani Monastery', u'Adventure Room', u'Athens War Museum', u'Odeon Of Herodes Atticus'], [u'Panathenaic Stadium', u'Parthenon', u'Estiatorio Milos Athens'], [u'Benaki Museum', u'Ancient Agora', u'Temple Of Olympian Zeus', u'Arch Of Hadrian']]",27 Mar 2015,"Paris,Paris,Paris,Paris,Paris,London,London,London,London,London,Dublin,Dublin,Dublin,Dublin,Dublin,Athens,Athens,Athens,Athens,Athens"
01 Jun 2015,,"[[u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'La Madeleine Church', u'Rue Mouffetard Market'], [u'Catacombs Of Paris', u'Pantheon', u'Eiffel Tower'], [u'Dome Des Invalides', u'Sacre Coeur Montmartrel', u'Palais De Chaillot'], [u'The Palais Royal', u'Chateau De Vincennes', u'Jardin Du Luxembourg'], [u'Louvre Pyramid', u'National Museum Of Natural History', u'Saint Sulpice', u'Palais Bourbon'], [u'Moulin Rouge', u'Palais Garnier', u'Medici Fountain'], [u'Musee De Larmee', u'Army Museum'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Trinity College Dublin', u'Dublin Zoo', u'O-connell Street'], [u'The Governor And Co Of Bank Of Ireland', u'National Museum Of Ireland Archaeology', u'Temple Bar Company'], [u'National Museum Of Ireland Decorative Arts And History', u'Georgian Dublin', u'Glendalough'], [u'St Patricks Cathedral', u'National Gallery Of Ireland', u'Nassau Street'], [u'St Stephens Greens', u'Grafton Street', u'Dublin Castle'], [u'General Post Office', u'Henry Street', u'Kilmainham Gaol'], [u'Prague Zoo', u'Prague Castle', u'Golden Lane'], [u'Church Of St Nicholas', u'Loreto Church', u'Czech National Museum', u'Stefanik Observatory'], [u'Castle District', u'Old Town Hall Tower And Astronomical Clock', u'Josefov Jewish Museum'], [u'Tyn Church', u'Bedrich Smetana Museum', u'Klementinum', u'Clementine', u'K G B Museum'], [u'Old New Synagogue', u'Vysehrad Castle', u'Antonin Dvorak Museum'], [u'Karlstejn', u'Jindrisska Tower', u'St Cyril And Methodius Cathedral']]",20 Jun 2015,"Paris,Paris,Paris,Paris,Paris,Paris,Paris,Dublin,Dublin,Dublin,Dublin,Dublin,Dublin,Dublin,Prague,Prague,Prague,Prague,Prague,Prague"
01 Dec 2015,,"[[u'Jindrisska Tower', u'The Powder Tower', u'Tyn Church', u'Golden Lane', u'The Dancing House'], [u'St Vitus Cathedral', u'Charles Bridge', u'Old Town Hall Tower And Astronomical Clock'], [u'Warsaw Old Town', u'Fryderyk Chopin Museum', u'Lazienki Park'], [u'Palace Of Culture And Science', u'Copernicus Science Centre', u'Warsaw National Museum'], [u'Auschwitz-birkenau State Museum', u'St Marys Basilica', u'Wawel Royal Castle', u'Rakowicki Cemetery', u'Main Market Square'], [u'Wieliczka Salt Mine', u'Cafe Philo', u'Oskar Schindlers Factory', u'Cloth Hall', u'Collegium Maius'], [u'Moscow Church Of Christ', u'Lenins Mausoleum', u'The Armory', u'Kremlin', u'Red Square'], [u'Pushkin Fine Arts Museum', u'Assumption Cathedral', u'Varvarka Street'], [u'Memorial Museum Of Leningrad Blockade', u'Peter And Paul Fortress', u'St. Isaacs Cathedral', u'Church Of The Savior On Blood'], [u'Chesma Cathedral And Monastery', u'Nevsky Prospekt', u'The State Hermitage'], [u'Santa Claus Village'], [u'Ranua Wildlife Park', u'Pilke Science Centre Or Tiedekeskus Pilke', u'Lordi\\s Square', u'Arktikum'], [u'Suomenlinna', u'Hietaniemi', u'The Market Square', u'Helsinki Cathedral', u'The Railway Station'], [u'Uspenski Orthodox Cathedral', u'Temppeliaukio Church Or Rock Church', u'Olympic Stadium', u'Linnanmaki Amusement Park', u'Seurasaari Island'], [u'Vasa Museum', u'Nordic Museum', u'Dramaten', u'S\xf6dermalm', u'The Royal Armoury'], [u'Ostermalmshallen', u'Gamla Stan', u'Royal Palace', u'Bryggart\xe4ppan', u'Stortorget'], [u'Floibanen', u'Akvariet Or Bergen Aquarium', u'Bryggens Museum', u'Det Hanseatic Museum And Sch\xf8tstuene'], [u'Leprosy Museum', u'Troldhaugen Edvard Grieg Museum', u'Bergen Kunst Museum'], [u'Guinness Storehouse', u'Dublin Castle', u'National Gallery Of Ireland', u'Nassau Street'], [u'St Stephens Greens', u'Kilmainham Gaol', u'Temple Bar Company', u'National Museum Of Ireland Archaeology']]",20 Dec 2015,"Prague,Prague,Warsaw,Warsaw,Krakow,Krakow,Moscow,Moscow,Saint Petersburg,Saint Petersburg,Rovaniemi,Rovaniemi,Helsinki,Helsinki,Stockholm,Stockholm,Bergen,Bergen,Dublin,Dublin"
27 Jun 2020,,"[[u'Guinness Storehouse', u'Temple Bar Company', u'National Gallery Of Ireland', u'Dublin Castle'], [u'Kilmainham Gaol', u'Phoenix Park', u'O-connell Street'], [u'St Patricks Cathedral', u'General Post Office', u'Dublin Zoo', u'Henry Street'], [u'Eask Tower', u'Kilmalkedar Church', u'St. James Church', u'Gallarus Oratory'], [u'Slea Head Loop', u'Oceanworld Aquarium', u'Dick Mack\\s Pub'], [u'Dingle Tourist Office', u'Dingle Brewery Company', u'Greenlane Gallery', u'O\\sullivan\\s Courthouse Pub'], [u'Dolans Pub', u'St Marys Cathedral', u'Mill Market', u'King Johns Castle'], [u'Perys Square', u'Limerick City Walking Tour', u'Angelas Shes Walking Tour'], [u'Thomond Park', u'Flannerys Bar', u'Fitzpatricks Casino', u'The Hunt Museum'], [u'Irish National Heritage Park', u'Wells House And Gardens', u'Loftus Hall'], [u'Kennedy Homestead', u'Ss Dunbrody Emigrant Ship', u'Irish Agricultural Museum And Johnstown Castle Gardens'], [u'Connemara National Park'], [u'Eyre Square', u'Quay Street'], [u'Rattoo Round Tower', u'Kerry County Museum', u'Aqua Dome'], [u'Rose Of Tralee', u'Lakes Of Killarney', u'Kirbys Brogue Inn', u'Blennerville Windmill', u'Coolwood Killarney Park'], [u'Kilkenny Castle', u'Dunmore Cave', u'Jerpoint Abbey', u'Butler Gallery', u'St. Canice Cathedral'], [u'Graces Courthouse And Jail', u'Smithwick\\s Experience', u'Rothe House'], [u'English Market', u'Cork Opera House', u'Red Abbey Cork', u'Sin E'], [u'Blarney Castle', u'Cork Vision Centre', u'Lewis Glucksman Gallery', u'Crawford Art Gallery', u'Triskel Christchurch']]",15 Jul 2020,"[u'Dublin', u'Dublin', u'Dublin', u'Dingle', u'Dingle', u'Dingle', u'Limerick', u'Limerick', u'Limerick', u'Wexford', u'Wexford', u'Galway', u'Galway', u'Tralee', [u'Tralee', u'Killarney'], u'Kilkenny', u'Kilkenny', u'Cork', u'Cork']"
06 Jul 2016,,"[[u'Acropolis', u'Temple Of Athena Nike', u'Odeon Of Herodes Atticus'], [u'Erechtheion', u'Acropolis Museum', u'Parthenon'], [u'St Peters Basilica', u'Sistine Chapel'], [u'Museum Of The Holy Souls', u'Santa Maria Sopra Minerva', u'Colosseum', u'Domus Aurea', u'Castle San Angelo'], [u'Sainte Chapelle', u'Sacre Coeur Montmartrel', u'Towers Of Notre Dame Cathedral', u'Grand Palais'], [u'Louvre Museum'], [u'Butterfly House', u'Belvedere Palace', u'Historic Centre Of Vienna'], [u'St Stephens Cathedral', u'Schonbrunn Palace', u'Palace Of Justice', u'Karntnerstrasse'], [u'Koelner Zoo', u'Rheinturm', u'Kolner Dom'], [u'Altes Rathaus', u'Old Town, Altstadt', u'Kolumba', u'Goethe Museum', u'Heinrich Heine Institut'], [u'Warsaw Old Town', u'Warsaw Uprising Museum', u'Lazienki Park'], [u'Palace Of Culture And Science', u'Copernicus Science Centre', u'Fryderyk Chopin Museum', u'Warsaw National Museum'], [u'Botanical Garden', u'Copenhagen Zoo', u'The Round Tower'], [u'Christiania', u'The National Museum'], [u'Madame Tussauds Museum', u'Buckingham Palace London', u'Piccadilly Circus'], [u'Westminster Abbey', u'The London Eye', u'Harrods'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Sydney Opera House', u'Sydney Tower', u'Sydney Cricket Ground'], [u'Vaucluse House', u'Tuggerah Lake', u'Sydney Harbour Bridge']]",25 Jul 2016,"[u'Athens', u'Athens', [u'Rome', u'Vatican City'], u'Rome', u'Paris', u'Paris', u'Vienna', u'Vienna', [u'Cologne', u'Dusseldorf'], [u'Cologne', u'Dusseldorf'], u'Warsaw', u'Warsaw', u'Copenhagen', u'Copenhagen', u'London', u'London', u'Dublin', u'Dublin', u'Sydney', [u'Sydney', u'Newcastle']]"
03 Jul 2016,,"[[u'Stegastein Viewpoint', u'The Flam Railway', u'Fjord Safari'], [u'Njord - Seakayak And Wilderness Adventure Day Tours', u'Borgund Stave Church', u'The Salmon Center'], [u'Brekkefossen', u'Flaamsbana Museet', u'World Heritage Cruise Naeroyfjord'], [u'Flam Hiking As', u'Rallartoget'], [u'Colosseum', u'Capitoline Museums'], [u'Sistine Chapel', u'Pantheon', u'Vatican Necropolis And Saints Tomb', u'Roman Protestant Cemetery'], [u'Santa Maria Della Concezione', u'Ostia Antica', u'Trajans Column', u'Basilica Di San Pietro In Vincoli', u'Christian Catacombs Of San Callisto'], [u'St Patricks Cathedral', u'St Stephens Greens', u'Viking Splash Tours', u'Grafton Street', u'Irelands Smallest Comedy Club'], [u'Guinness Storehouse', u'General Post Office', u'City Tour Hop On-hop-off', u'Georgian Dublin', u'Glendalough'], [u'Phoenix Park', u'National Gallery Of Ireland', u'Christ Church Cathedral'], [u'Kilmainham Gaol', u'Temple Bar Company', u'Old Jameson Distillery', u'Henry Street'], [u'Dublin Castle', u'National Wax Museum Plus', u'Nassau Street', u'O-connell Street'], [u'Grand Central Terminal', u'25 Columbia Heights', u'The Metropolitan Museum Of Art', u'Ground Zero', u'900 Red Mills Rd'], [u'Statue Of Liberty', u'Empire State Building', u'National 9-11 Memorial Museum', u'Watchtower Educational Center', u'American Museum Of Natural History'], [u'Bridge Gallery', u'Museum Of Modern Art', u'Chinatown'], [u'Little Italy', u'Bronx Zoo', u'Solomon R Guggenheim Museum'], [u'Ellis Island', u'Coney Island Cyclone', u'Chrysler Building'], [u'South Street Seaport', u'Brooklyn Museum', u'Staten Island Ferry', u'Intrepid Sea, Air And Space Museum'], [u'Brooklyn Bridge', u'Brooklyn Botanical Garden', u'United Nations Headquarters', u'New York Public Library']]",22 Jul 2016,"[u'Flam', u'Flam', u'Flam', u'Flam', u'Rome', [u'Rome', u'Vatican City', u'Vatican City'], u'Rome', [u'Dublin', u'Galway'], u'Dublin', u'Dublin', u'Dublin', u'Dublin', [u'New York City', u'Wallkill'], [u'New York City', u'Patterson'], u'New York City', u'New York City', u'New York City', u'New York City', u'New York City']"
