trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
05 Apr 2017,5608e61e49d56d4e060004bd,"[[u'Park Lane Suites and Inn', u'Columbia River Gorge National Scenic Area', u'Oneonta Gorge', u'Pearl District', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland Visitors Information Center', u'International Rose Test Garden', u'Portland Japanese Garden', u'Hoyt Arboretum', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'St. Johns Bridge', u'Oregon Zoo', u'Portland Art Museum', u'Forest Park', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Oregon Museum Of Science And Industry', u'Lan Su Chinese Garden', u'Multnomah County Central Library', u'The Grotto - National Sanctuary Of Our Sorrowful Mother', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland Farmers Market', u'Pittock Mansion', u'Portland Children\\s Museum', u'Willamette Valley', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland International Raceway', u'Oaks Amusement Park', u'Park Lane Suites and Inn']]",10 Apr 2017,"Portland,Portland,Portland,Portland,Portland,Portland"
11 Feb 2017,53609814f9c2e5e26100004d,"[[u'Park Lane Suites and Inn', u'Columbia River Gorge National Scenic Area', u'Oneonta Gorge', u'Oregon Museum Of Science And Industry', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'St. Johns Bridge', u'International Rose Test Garden', u'Portland Japanese Garden', u'Hoyt Arboretum', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland Visitors Information Center', u'Oregon Zoo', u'Portland Art Museum', u'Pearl District', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland Farmers Market', u'Lan Su Chinese Garden', u'Multnomah County Central Library', u'Forest Park', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland International Raceway', u'Pittock Mansion', u'Portland Children\\s Museum', u'Oaks Amusement Park', u'Park Lane Suites and Inn']]",15 Feb 2017,"Portland,Portland,Portland,Portland,Portland"
03 Aug 2015,,"[[u'Children\\s Museum Of Denver', u'Denver Zoo'], [u'Denver Botanic Gardens', u'Chamberlin Observatory And Observatory Park'], [u'Grant-frontier Park', u'Forney Transportation Museum', u'Dinosaur Ridge'], [u'United States Mint', u'Downtown Aquarium Denver', u'Molly Brown House Museum'], [u'Denver Museum Of Nature And Science', u'Wings Over The Rockies Air And Space Museum', u'Kirkland Museum Of Fine And Decorative Art'], [u'Colorado State Capitol', u'Elitch Gardens Theme And Water Park'], [u'Washington Park', u'Denver Art Museum'], [u'Oregon Zoo', u'Columbia River Gorge National Scenic Area'], [u'Pittock Mansion', u'Lan Su Chinese Garden', u'Portland Japanese Garden'], [u'The Grotto - National Sanctuary Of Our Sorrowful Mother', u'Portland Art Museum', u'Oregon Museum Of Science And Industry', u'International Rose Test Garden'], [u'Seattle Ferry', u'Washington Park Arboretum', u'Green Lake Park', u'Pike Place Market', u'Woodland Park Zoo'], [u'Seattle Waterfall Garden', u'Olympic Sculpture Park', u'Pioneer Square', u'Space Needle', u'Emp Museum'], [u'Saint James Cathedral', u'Seattle Aquarium', u'The Museum Of Flight', u'Chihuly Garden And Glass', u'Seattle Art Museum'], [u'Gas Works Park', u'Discovery Park', u'Myrtle Edwards Park', u'Kerry Park', u'Benaroya Hall'], [u'Wing Luke Museum', u'Hiram M. Chittenden Locks', u'Seattle Great Wheel', u'Key Arena', u'The Seattle Waterfront Or Central Waterfront']]",17 Aug 2015,"Denver,Denver,Denver,Denver,Denver,Denver,Denver,Portland,Portland,Portland,Seattle,Seattle,Seattle,Seattle,Seattle"
25 Mar 2017,5617951886ccbe3d0f00043c,"[[u'Park Lane Suites and Inn', u'Columbia River Gorge National Scenic Area', u'Oneonta Gorge', u'Oregon Museum Of Science And Industry', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'St. Johns Bridge', u'International Rose Test Garden', u'Portland Japanese Garden', u'Hoyt Arboretum', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland Visitors Information Center', u'Oregon Zoo', u'Portland Art Museum', u'Pearl District', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland Farmers Market', u'Lan Su Chinese Garden', u'Multnomah County Central Library', u'Forest Park', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Portland International Raceway', u'Pittock Mansion', u'Portland Children\\s Museum', u'Oaks Amusement Park', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'The Grotto - National Sanctuary Of Our Sorrowful Mother', u'Beerquest Pdx', u'Crystal Springs Rhododendron Garden', u'Park Lane Suites and Inn'], [u'Park Lane Suites and Inn', u'Willamette Valley', u'Trillium Lake', u'Park Lane Suites and Inn']]",31 Mar 2017,"Portland,Portland,Portland,Portland,Portland,Portland,Portland"
17 Jul 2015,,"[[u'Seattle Ferry', u'Pioneer Square', u'Seattle Aquarium', u'Benaroya Hall', u'Seattle Great Wheel'], [u'Washington Park Arboretum', u'Green Lake Park', u'Pike Place Market', u'Woodland Park Zoo'], [u'Seattle Waterfall Garden', u'Kerry Park', u'The Museum Of Flight', u'Emp Museum', u'Space Needle'], [u'Saint James Cathedral', u'Discovery Park', u'Olympic Sculpture Park', u'The Seattle Waterfront Or Central Waterfront', u'Argosy Cruises'], [u'Gas Works Park', u'Myrtle Edwards Park', u'Chihuly Garden And Glass', u'Key Arena', u'Pacific Science Center'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Oregon Zoo', u'Crystal Springs Rhododendron Garden'], [u'Pearl District', u'St. Johns Bridge'], [u'Forest Park', u'Oaks Amusement Park']]",26 Jul 2015,"Seattle,Seattle,Seattle,Seattle,Seattle,Portland,Portland,Portland,Portland,Portland"
15 Mar 2016,,"[[u'Stanley Park', u'Queen Elizabeth Park', u'Vancouver Aquarium', u'Granville Island', u'Robson Street'], [u'Science World', u'Capilano Suspension Bridge', u'Vancouver Lookout', u'Orpheum Theatre', u'Spanish Banks'], [u'Grouse Mountain', u'Museum Of Anthropology', u'Jericho Beach', u'Gastown Vancouver'], [u'Seattle Ferry', u'The Seattle Waterfront Or Central Waterfront', u'Seattle Waterfall Garden', u'Pike Place Market', u'Sky View Observatory'], [u'Seattle Aquarium', u'Seattle Public Library', u'Pacific Science Center', u'Ye Olde Curiosity Shop', u'Myrtle Edwards Park'], [u'Saint James Cathedral', u'Seattle Art Museum', u'Chihuly Garden And Glass', u'Pacific Place', u'Argosy Cruises'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Forest Park', u'Pearl District'], [u'Golden Gate Bridge', u'Alcatraz Island', u'San Francisco Cable Car Museum'], [u'Ferry Building', u'555 California Street', u'Baker Beach'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Balboa Park', u'Uss Midway Museum', u'Gaslamp Quarter'], [u'Old Towns Fashion Valley Shopping Center', u'Maritime Museum Of San Diego', u'Legoland']]",29 Mar 2016,"[u'Vancouver', u'Vancouver', u'Vancouver', u'Seattle', u'Seattle', u'Seattle', u'Portland', u'Portland', u'Portland', u'San Francisco', u'San Francisco', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Diego', u'San Diego']"
03 Aug 2015,5705b2d128e5d01b14000351,"[[u'Children\\s Museum Of Denver', u'Denver Zoo'], [u'Denver Botanic Gardens', u'Chamberlin Observatory And Observatory Park'], [u'Grant-frontier Park', u'Forney Transportation Museum', u'Dinosaur Ridge'], [u'United States Mint', u'Downtown Aquarium Denver', u'Molly Brown House Museum'], [u'Denver Museum Of Nature And Science', u'Wings Over The Rockies Air And Space Museum', u'Kirkland Museum Of Fine And Decorative Art'], [u'Colorado State Capitol', u'Elitch Gardens Theme And Water Park'], [u'Washington Park', u'Denver Art Museum'], [u'Oregon Zoo', u'Columbia River Gorge National Scenic Area'], [u'Pittock Mansion', u'Lan Su Chinese Garden', u'Portland Japanese Garden'], [u'The Grotto - National Sanctuary Of Our Sorrowful Mother', u'Portland Art Museum', u'Oregon Museum Of Science And Industry', u'International Rose Test Garden'], [u'Seattle Ferry', u'Washington Park Arboretum', u'Green Lake Park', u'Pike Place Market', u'Woodland Park Zoo'], [u'Seattle Waterfall Garden', u'Olympic Sculpture Park', u'Pioneer Square', u'Space Needle', u'Emp Museum'], [u'Saint James Cathedral', u'Seattle Aquarium', u'The Museum Of Flight', u'Chihuly Garden And Glass', u'Seattle Art Museum'], [u'Gas Works Park', u'Discovery Park', u'Myrtle Edwards Park', u'Kerry Park', u'Benaroya Hall'], [u'Wing Luke Museum', u'Hiram M. Chittenden Locks', u'Seattle Great Wheel', u'Key Arena', u'The Seattle Waterfront Or Central Waterfront']]",17 Aug 2015,"Denver,Denver,Denver,Denver,Denver,Denver,Denver,Portland,Portland,Portland,Seattle,Seattle,Seattle,Seattle,Seattle"
15 Sep 2015,55b03694f3a73d824400077e,"[[u'Centennial Olympic Park', u'The Lego Store', u'World Of Coca Cola'], [u'St. Louis Cathedral', u'Jackson Square', u'Voodoo Spiritual Temple', u'Lake Pontchartrain', u'Bsg Financial'], [u'1850 House', u'Mercedes Benz Superdome', u'Mardi Gras World Or Festival', u'Angelo Brocato Ice Cream', u'City Park'], [u'State Capitol', u'Bob Bullock Texas State History Museum', u'The Driskill', u'Austin Bats'], [u'Ethel M Chocolate Factory', u'Battlefield Vegas', u'Hoover Dam', u'Fountains Of Bellagio', u'Beatleshow Orchestra'], [u'Red Rock Canyon National Conservation Area', u'Eiffel Tower Experience'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'Glacier Point', u'Mariposa Grove Of Giant Sequoias', u'Ansel Adams Gallery'], [u'Lombard Street', u'San Francisco Cable Car Museum', u'Exploratorium'], [u'Uss Pampanito', u'California Academy Of Sciences', u'Nob Hill'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Woodland Park Zoo', u'Pike Place Market', u'Chihuly Garden And Glass', u'Seattle-tacoma International Airport'], [u'Seattle Waterfall Garden', u'Seattle Aquarium', u'The Museum Of Flight', u'Space Needle', u'Argosy Cruises'], [u'Museum Of Anthropology', u'Granville Island', u'Orpheum Theatre', u'Playland Amusement Park', u'Cultus Lake Waterpark']]",28 Sep 2015,"[[u'Alpharetta', u'Atlanta'], u'New Orleans', u'New Orleans', u'Austin', u'Las Vegas', u'Las Vegas', [u'Santa Monica', u'Los Angeles'], u'Yosemite National Park', u'San Francisco', u'San Francisco', u'Portland', u'Seattle', u'Seattle', [u'Vancouver', u'Cultus Lake']]"
20 May 2016,,"[[u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'City Park', u'Lake Pontchartrain'], [u'Audubon Aquarium Of The Americas', u'French Quarter', u'Mercedes Benz Superdome', u'Voodoo Spiritual Temple', u'Angelo Brocato Ice Cream'], [u'Woldenberg Riverfront Park', u'New Orleans Botanical Garden', u'Audubon Butterfly Garden And Insectarium', u'The Sydney And Waldabesthoff Sculpture Garden', u'1850 House'], [u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats', u'Mount Bonnell'], [u'Westcave Preserve', u'Austin Zoo', u'McKinney Falls State Park', u'The Driskill'], [u'Texas Military Forces Museum', u'Natural Bridge Caverns', u'Umlauf Sculpture Garden And Museum'], [u'Petroglyph National Monument', u'Old Town Albuquerque'], [u'Albuquerque Bio Park', u'New Mexico Museum Of Natural History And Science', u'Sandia Peak Tramway'], [u'San Felipe De Neri Church', u'National Hispanic Cultural Center', u'Indian Pueblo Cultural Center', u'The National Museum Of Nuclear Science And History'], [u'South Mountain Park', u'Desert Bontanical Garden'], [u'Childrens Museum Of Phoenix', u'Phoenix Art Museum'], [u'Encanto Park', u'Arizona Science Center'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Lombard Street', u'San Francisco Cable Car Museum', u'Exploratorium', u'House Of Air'], [u'California Academy Of Sciences', u'Union Square'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Ye Olde Curiosity Shop', u'Emp Museum', u'Pacific Science Center', u'Seattle Center', u'918 E John St'], [u'Woodland Park Zoo', u'Bill And Melinda Gates Foundation Visitor Centre', u'Space Needle', u'Pioneer Square']]",08 Jun 2016,"[u'New Orleans', u'New Orleans', u'New Orleans', u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Albuquerque', u'Albuquerque', u'Albuquerque', u'Phoenix', u'Phoenix', u'Phoenix', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Francisco', u'San Francisco', u'Portland', u'Portland', u'Seattle', u'Seattle']"
01 Aug 2015,,"[[u'Seattle Ferry', u'Pike Place Market', u'Woodland Park Zoo', u'Space Needle'], [u'Seattle Waterfall Garden', u'The Seattle Waterfront Or Central Waterfront', u'Seattle Aquarium', u'Olympic Sculpture Park', u'Myrtle Edwards Park'], [u'Benaroya Hall', u'Argosy Cruises', u'Seattle Great Wheel', u'Kerry Park', u'Green Lake Park'], [u'Gas Works Park', u'Saint James Cathedral', u'Discovery Park', u'Chihuly Garden And Glass', u'The Museum Of Flight'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Forest Park', u'Pearl District'], [u'Lan Su Chinese Garden', u'Oaks Amusement Park', u'St. Johns Bridge']]",08 Aug 2015,"Seattle,Seattle,Seattle,Seattle,Portland,Portland,Portland,Portland"
17 Aug 2015,,"[[u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Forest Park', u'Pearl District'], [u'Oregon Zoo', u'Crystal Springs Rhododendron Garden'], [u'Lan Su Chinese Garden', u'St. Johns Bridge', u'Oregon Museum Of Science And Industry'], [u'Portland Visitors Information Center', u'Multnomah County Central Library', u'Oaks Amusement Park'], [u'Trillium Lake']]",24 Aug 2015,"Portland,Portland,Portland,Portland,Portland,Portland,Portland"
16 Jul 2015,,"[[u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Oaks Amusement Park', u'Crystal Springs Rhododendron Garden', u'St. Johns Bridge'], [u'The Museum Of Flight', u'Woodland Park Zoo', u'Emp Museum', u'Space Needle'], [u'The Gum Wall', u'Seattle Waterfall Garden', u'Pioneer Square', u'Seattle Aquarium', u'Seattle Art Museum'], [u'Washington Park Arboretum', u'Pike Place Market', u'Wing Luke Museum', u'Benaroya Hall', u'Seattle Great Wheel'], [u'Golden Gate Bridge', u'Lombard Street', u'San Francisco Cable Car Museum'], [u'Golden Gate Park', u'Ferry Building', u'Coit Tower'], [u'California Palace Of The Legion Of Honor', u'Muir Woods National Monument', u'Fishermans Wharf']]",24 Jul 2015,"Portland,Portland,Portland,Seattle,Seattle,Seattle,San Francisco,San Francisco,San Francisco"
10 Aug 2015,,"[[u'Seattle Ferry', u'The Seattle Waterfront Or Central Waterfront', u'Seattle Waterfall Garden', u'Pike Place Market', u'Centre For Wooden Boats'], [u'Wing Luke Museum', u'Seattle Aquarium', u'Seattle Public Library', u'Benaroya Hall', u'Kerry Park'], [u'The Gum Wall', u'Saint James Cathedral', u'Seattle Art Museum', u'Sky View Observatory', u'Argosy Cruises'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Forest Park', u'Pearl District'], [u'Lands End', u'Baker Beach', u'San Francisco International Airport', u'1034 45th St'], [u'San Francisco Cable Car Museum', u'Golden Gate Park', u'Castro Theatre', u'Sutro Baths Ruins'], [u'Golden Gate Bridge', u'Alamo Square', u'Ferry Building']]",18 Aug 2015,"[u'Seattle', u'Seattle', u'Seattle', u'Portland', u'Portland', u'Portland', [u'San Francisco', u'Emeryville'], u'San Francisco', u'San Francisco']"
01 Feb 2016,,"[[u'California Science Center', u'Tacos Punta Cabras Restaurant', u'Santa Monica Beach', u'Staples Center'], [u'26 Mile Bike Path', u'Bergamot Station', u'Santa Monica Looff Hippodrome'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'Aqua Surf School', u'Griffith Park'], [u'The J Paul Getty Centre', u'The Griffith Observatory', u'Santa Monica Museum Of Art'], [u'Westwood Village Memorial Park Cemetery', u'Runyon Canyon Park', u'Cathedral Of Our Lady Of The Angels', u'The Los Angeles Music Center', u'The Misfit Restaurant And Bar'], [u'Kansas Childrens Discovery Center', u'Wildlife and Parks Department', u'Yager Stadium', u'Montara Village', u'Ksnt'], [u'Brown V. Board Of Education National Historic Site', u'Going Bonkers', u'Forbes Field', u'Mulvane Art Museum', u'Kansas Museum Of History'], [u'Topeka Zoological Park', u'Gage Park', u'Sk8away', u'Combat Air Museum', u'Constitution Hall'], [u'Topeka Cemetery Association', u'Lake Shawnee', u'Museum Of The Kansas National Guard', u'Cedar Crest', u'Reinisch Rose Gardens'], [u'Kansas State Capitol Building', u'First Presbyterian Church Topeka', u'Shawnee North Family Aquatic Center', u'Ted Ensley Gardens', u'Firekeeper Golf Course'], [u'The Great Overland Station', u'Westboro Baptist Church', u'Topeka Performing Arts Center', u'Topeka Civic Theatre and Academy', u'Heartland Park Topeka'], [u'Sports Center', u'Ward Meade Park', u'Philip Billard Municipal Airport'], [u'Anne Frank House', u'Rijksmuseum', u'Heineken Experience'], [u'Van Gogh Museum', u'Jordaan Museum', u'Amsterdam Canals'], [u'Royal Palace', u'Vondelpark', u'Concertgebouw'], [u'Museum Island', u'Brandenburg Gate'], [u'Reichstag', u'Pergamon Museum'], [u'Museum Of Applied Art', u'East Side Gallery'], [u'Gedachtniskirche', u'Holocaust Memorial'], [u'Olympia Stadium', u'Potsdamer Platz'], [u'Zoological Garden', u'The Fernsehturm'], [u'Unter Den Linden', u'Charlottenburg Palace'], [u'Tiergarten', u'Topography Of Terror'], [u'Dahlem Museum', u'Checkpoint Charlie'], [u'Gendarmenmarkt'], [u'Grunewald'], [u'Trafalgar Square', u'National Gallery'], [u'British Museum', u'Piccadilly Circus'], [u'Madame Tussauds Museum', u'Baker Street', u'Oxo Tower Restaurant, Bar And Brasserie', u'10 Downing Street'], [u'The London Eye', u'Tate Modern', u'The Narrow'], [u'Shakespeares Globe', u'The View From The Shard'], [u'Natural History Museum', u'Hyde Park', u'Canary Wharf'], [u'Big Ben London', u'Harrods', u'Victoria And Albert Museum'], [u'Buda Castle', u'Cave Church', u'Danube Promenade', u'Nobu Restaurant'], [u'Fishermans Bastion', u'Szechenyi Medicinal Bath', u'Erzs\xe9bet T\xe9r', u'Vaci Utca'], [u'Gellert Hill', u'Kiskakukk \xc9tterem', u'Museum Of Fine Arts'], [u'Roman Forum', u'San Lorenzo', u'Ara Pacis Museum', u'Santa Maria Sopra Minerva'], [u'Santa Maria Della Concezione', u'Spanish Steps', u'Colosseum', u'Vatican Museums'], [u'Piazza Navona', u'Ruins Of The Palatine Hill', u'Capitoline Museums', u'Pantheon'], [u'Vatican Gardens', u'Galleria Borghese', u'Trevi Fountain', u'Castle San Angelo'], [u'Basilica Santa Maria Degli Angeli E Dei Martiri', u'Santa Maria Trastevere', u'Centrale Montemartini', u'Palazzo Valentini', u'Piazza Del Popolo'], [u'Arcibasilica Di San Giovanni In Laterano', u'Basilica Of San Clemente Al Laterano', u'Piazza Del Campidoglio', u'Stadio Olimpico', u'Chiesa Del Gesu'], [u'Hadrian\\s Villa', u'Altare Della Patria', u'Circus Maximus', u'Basilica Of Saint Paul Outside The Walls', u'Porta San Giovanni'], [u'State Capitol', u'Lady Bird Lake Hike And Bike Trail'], [u'LBJ Presidential Library', u'McKinney Falls State Park', u'Austin Bats', u'HOPE Outdoor Gallery'], [u'Lady Bird Johnson Wildflower Center', u'Cathedral Of Junk', u'The Driskill'], [u'Natural Bridge Wildlife Ranch', u'Mount Bonnell'], [u'Texas Military Forces Museum', u'6th Street'], [u'Westcave Preserve', u'Natural Bridge Caverns', u'Umlauf Sculpture Garden And Museum'], [u'Lan Su Chinese Garden', u'Portland Japanese Garden', u'Cranmore Mountain Resort ', u'Kittery Trading Post'], [u'Forest Park', u'Oregon Museum Of Science And Industry', u'Gallery 302', u'First Universalist Church', u'Bowman Field Airport'], [u'Crystal Springs Rhododendron Garden', u'International Rose Test Garden', u'Gunstock Mountain Resort', u'Sea Fever Fishing Charters'], [u'Pearl District'], [u'Hoyt Arboretum', u'Willamette Valley'], [u'Trillium Lake', u'St. Johns Bridge'], [u'Oaks Amusement Park', u'Phillips Exeter Academy', u'Riverside Municipal Golf Course', u'Waldo Theatre']]",29 Mar 2016,"[[u'Los Angeles', u'Santa Monica'], u'Santa Monica', u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Los Angeles', u'Santa Monica'], [u'Los Angeles', u'Santa Monica'], u'Topeka', [u'Berryton', u'Topeka'], [u'Lecompton', u'Topeka'], u'Topeka', [u'Topeka', u'Mayetta'], u'Topeka', u'Topeka', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'Berlin', u'London', u'London', u'London', u'London', u'London', u'London', u'London', u'Budapest', u'Budapest', u'Budapest', u'Rome', u'Rome', u'Rome', [u'Rome', u'Vatican City'], u'Rome', u'Rome', u'Rome', u'Austin', u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Austin', [u'San Antonio', u'Austin'], [u'Portland', u'Kittery'], [u'Portland', u'Livermore Falls', u'Bridgton'], [u'Portland', u'Hampton Falls', u'Gilford'], u'Portland', u'Portland', u'Portland', [u'Portland', u'Portland', u'Waldoboro', u'Exeter']]"
19 Aug 2015,55b8e0081aa23c2d35000292,"[[u'Columbia River Gorge National Scenic Area', u'Willamette Valley', u'Portland Art Museum'], [u'Pearl District', u'Portland Japanese Garden'], [u'Forest Park', u'International Rose Test Garden', u'Oneonta Gorge'], [u'Oregon Zoo', u'Crystal Springs Rhododendron Garden'], [u'Portland Children\\s Museum', u'Lan Su Chinese Garden', u'St. Johns Bridge'], [u'Pittock Mansion', u'Multnomah County Central Library', u'Oaks Amusement Park'], [u'Portland Farmers Market', u'Oregon Museum Of Science And Industry', u'Hoyt Arboretum'], [u'The Grotto - National Sanctuary Of Our Sorrowful Mother', u'Trillium Lake']]",26 Aug 2015,"Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland"
23 Jun 2016,,"[[u'Woodland Park Zoo', u'Pike Place Market', u'Seattle Public Library', u'Chihuly Garden And Glass', u'Seattle-tacoma International Airport'], [u'The Museum Of Flight', u'Sky View Observatory', u'Argosy Cruises', u'Space Needle', u'Benaroya Hall'], [u'Golden Gate Bridge', u'Alcatraz Island', u'San Francisco Cable Car Museum'], [u'Ferry Building', u'555 California Street', u'Baker Beach'], [u'Lower Yellowstone River Falls', u'Grand Prismatic Spring', u'Mammoth Hot Springs', u'Old Faithful'], [u'Grand Canyon Of Yellowstone', u'Old Faithful Inn', u'Yellowstone Lake'], [u'Limekiln State Park', u'The Esalen Institute', u'Monterey Bay Aquarium'], [u'Julia Pfeiffer Burns State Park', u'Jacks Peak County Park', u'Pfeiffer Beach Day Use Area'], [u'Portland Japanese Garden', u'Lan Su Chinese Garden', u'International Rose Test Garden', u'Vinolio'], [u'Pearl District', u'Deering High School']]",02 Jul 2016,"[u'Seattle', u'Seattle', u'San Francisco', u'San Francisco', u'Yellowstone National Park', u'Yellowstone National Park', [u'Monterey', u'Big Sur'], [u'Monterey', u'Big Sur'], [u'Portland', u'Hallowell'], u'Portland']"
02 Oct 2015,,"[[u'Columbia River Gorge National Scenic Area', u'St. Johns Bridge'], [u'Portland Children\\s Museum', u'Portland Japanese Garden'], [u'Oaks Amusement Park', u'International Rose Test Garden'], [u'Oregon Zoo', u'Multnomah County Central Library'], [u'Hoyt Arboretum', u'Lan Su Chinese Garden'], [u'Trillium Lake', u'Pittock Mansion'], [u'Portland Farmers Market', u'Oregon Museum Of Science And Industry'], [u'The Grotto - National Sanctuary Of Our Sorrowful Mother', u'Beerquest Pdx'], [u'Portland Visitors Information Center', u'Portland Art Museum'], [u'Pearl District'], [u'Portland International Raceway', u'Willamette Valley'], [u'Forest Park'], [u'Oneonta Gorge'], [u'Crystal Springs Rhododendron Garden']]",15 Oct 2015,"Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland"
09 Aug 2015,,"[[u'Hoyt Arboretum', u'Columbia River Gorge National Scenic Area'], [u'Trillium Lake', u'Portland Japanese Garden'], [u'Portland Farmers Market', u'International Rose Test Garden'], [u'Oregon Zoo', u'Portland Visitors Information Center'], [u'Beerquest Pdx', u'Lan Su Chinese Garden'], [u'Portland International Raceway', u'Pittock Mansion'], [u'Oregon Museum Of Science And Industry'], [u'The Grotto - National Sanctuary Of Our Sorrowful Mother'], [u'Portland Art Museum'], [u'Pearl District'], [u'Willamette Valley'], [u'Forest Park'], [u'Oneonta Gorge'], [u'Crystal Springs Rhododendron Garden'], [u'St. Johns Bridge'], [u'Portland Children\\s Museum'], [u'Oaks Amusement Park'], [u'Multnomah County Central Library']]",26 Aug 2015,"Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland,Portland"
