trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
13 May 2015,,"[[u'Dublin Zoo', u'National Gallery Of Ireland', u'O-connell Street'], [u'St Stephens Greens', u'Temple Bar Company', u'Trinity College Dublin', u'Dublin Castle'], [u'General Post Office', u'Georgian Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology'], [u'Guinness Storehouse', u'The Governor And Co Of Bank Of Ireland', u'Glendalough'], [u'National Museum Of Ireland Decorative Arts And History', u'Henry Street', u'Nassau Street'], [u'St Patricks Cathedral', u'Phoenix Park', u'Grafton Street'], [u'Edinburgh Farmers Market', u'The Scott Monument', u'Palace Of Holyroodhouse', u'Buchanan Street'], [u'Edinburgh Castle', u'Calton Hill'], [u'National Museum Of Scotland', u'Hopetoun House', u'Scotch Whisky Heritage Centre'], [u'Our Dynamic Earth', u'Scottish National Portrait Gallery', u'Edinburgh Dungeon', u'Greyfriars Kirkyard', u'Royal Yacht Britannia'], [u'Kelvingrove Art Gallery And Museum', u'Royal Botanic Garden Edinburgh', u'Edinburgh Zoo'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Westminster Abbey', u'Tate Modern', u'Piccadilly Circus'], [u'Trafalgar Square', u'Madame Tussauds Museum', u'Cutty Sark'], [u'Harrods', u'Tower Of London', u'Canary Wharf'], [u'Kensington Palace', u'The London Eye', u'Tower Bridge', u'Palace Of Westminster']]",28 May 2015,"[u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin', [u'Edinburgh', u'Glasgow'], u'Edinburgh', u'Edinburgh', u'Edinburgh', [u'Edinburgh', u'Glasgow'], u'London', u'London', u'London', u'London', u'London']"
04 Sep 2015,,"[[u'Churchill War Rooms', u'The London Eye', u'Tower Of London'], [u'Tower Bridge', u'Madame Tussauds Museum', u'Palace Of Westminster', u'Hyde Park'], [u'Harrods', u'Buckingham Palace London', u'Big Ben London'], [u'The Circus And The Royal Crescent', u'Mermaid Quay', u'Roman Baths Museum', u'St. Fagans - National History Museum'], [u'Cardiff Castle', u'Bath Abbey', u'Thermae Bath Spa'], [u'Caerphilly Mountain', u'Sally Lunns Historic Museum And Eating House', u'Castell Coch', u'Millennium Stadium', u'Doctor Who Experience Cardiff Bay'], [u'Guinness Storehouse', u'National Gallery Of Ireland', u'St Patricks Cathedral', u'Temple Bar Company'], [u'St Stephens Greens', u'Grafton Street', u'National Museum Of Ireland Decorative Arts And History'], [u'General Post Office', u'Phoenix Park', u'Dublin Castle'], [u'Edinburgh Castle', u'Kelvingrove Art Gallery And Museum', u'Merchant City'], [u'Stirling Castle', u'Glasgow Cathedral', u'Scottish National Portrait Gallery', u'The Horseshoe Bar', u'Glasgow Botanical Gardens'], [u'Palace Of Holyroodhouse', u'Greyfriars Kirkyard', u'Pollock Country Park'], [u'University Of Glasgow', u'Loch Lomond', u'The Royal Mile', u'Our Dynamic Earth'], [u'Scottish National Gallery', u'Glasgow Science Centre', u'The Rogano'], [u'National Museum Of Scotland', u'Edinburgh Zoo'], [u'House For An Art Lover', u'Glasgow School Of Art', u'Edinburgh Dungeon', u'The Nelson Monument'], [u'Royal Yacht Britannia', u'Royal Botanic Garden Edinburgh', u'Scotch Whisky Heritage Centre', u'The Scott Monument', u'Sharmanka'], [u'Riverside Museum', u'Mansfield Traquair Centre', u'Calton Hill'], [u'Peoples Palace', u'Scottish Mining Museum', u'The Lighthouse', u'Holmwood House'], [u'Glasgow City Chambers', u'Hopetoun House', u'Glasgow West End']]",23 Sep 2015,"[u'London', u'London', u'London', [u'Bath', u'Cardiff'], [u'Bath', u'Cardiff'], [u'Bath', u'Cardiff'], u'Dublin', u'Dublin', u'Dublin', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], u'Edinburgh', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow']]"
01 Jul 2016,,"[[u'Bargello Museum And Palace', u'Basilica Di Santa Maria Del Fiore', u'Florence Baptistery', u'Giottos Campanile', u'Via Dei Servi, 66'], [u'Basilica Di San Lorenzo', u'Galleria Dellaccademia', u'Ponte Vecchio'], [u'Doges Palace', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection', u'St Mary Of The Friars'], [u'Sforza Castle', u'Milan Cathedral Or The Duomo'], [u'Lake Geneva', u'Place Des Nations', u'Russian Church', u'St Peters Cathedral', u'The Jet D Eau'], [u'Rathaus', u'Fishermans Quarter', u'Ulm Cathedral', u'Ulmer Museum', u'Wiblingen Abbey'], [u'Crooked House', u'Albert Einstein Denkmal', u'Stadthaus Ulm', u'Museum Of Bread Culture', u'Kunsthalle Weishaupt'], [u'Danube', u'Hohle Fels', u'Tiergarten Ulm'], [u'Musee Dorsay', u'Eiffel Tower', u'Adagio Aparthotel Paris Buttes Chaumont'], [u'Musee De L Orangerie', u'Arc De Triomphe', u'Luxembourg Gardens', u'How To Become Parisian In One Hour', u'Les Deux Magots'], [u'Montmartre'], [u'Ile Saint-louis', u'Sacre Coeur Montmartrel', u'River Seine'], [u'Holburne Museum', u'Bute Park', u'Cardiff Bay Barrage'], [u'Mermaid Quay', u'National Museum And Art Gallery'], [u'Stirling Castle', u'Edinburgh Castle', u'Arniston House', u'Dunnottar Castle '], [u'Oxford Street', u'Tower Of London', u'Big Ben London'], [u'Buckingham Palace London', u'Greenwich Park', u'Knightsbridge', u'Hyde Park'], [u'Zsl London Zoo', u'Soho'], [u'Royal Festival Hall', u'Westminster Abbey', u'Oxo Tower Restaurant, Bar And Brasserie', u'Millennium Bridge'], [u'The London Dungeon', u'The London Eye', u'The View From The Shard']]",20 Jul 2016,"[u'Florence', u'Florence', u'Venice', u'Milan', u'Geneva', u'Ulm', u'Ulm', u'Ulm', u'Paris', u'Paris', u'Paris', u'Paris', [u'Bath', u'Cardiff'], u'Cardiff', [u'Stonehaven', u'Edinburgh'], u'London', u'London', u'London', u'London', u'London']"
19 Jun 2015,,"[[u'Edinburgh Farmers Market', u'Edinburgh Castle', u'Greyfriars Kirkyard'], [u'Edinburgh Zoo', u'Our Dynamic Earth', u'The Royal Mile'], [u'Palace Of Holyroodhouse', u'Glasgow Botanical Gardens', u'National Museum Of Scotland'], [u'Museum Of Science And Industry', u'National Railway Museum', u'The Village', u'Ripleys Believe It Or Not', u'Pleasure Beach'], [u'The Botanical Gardens', u'Manchester Cathedral', u'The Lowry', u'Sheffield Motorpoint Arena', u'Tropical Butterfly House'], [u'Holburne Museum', u'Bute Park', u'Cardiff Bay Barrage'], [u'Mermaid Quay', u'National Museum And Art Gallery'], [u'Wellington Arch', u'London Transport Museum', u'Knightsbridge', u'Millennium Bridge'], [u'St Pauls Cathedral', u'Tate Modern', u'Hyde Park'], [u'Tower Of London', u'The Monument', u'Madame Tussauds Museum', u'Fulham Rd'], [u'Tower Bridge', u'National Portrait Gallery', u'Palace Of Westminster'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'National Gallery']]",01 Jul 2015,"[u'Edinburgh', u'Edinburgh', [u'Edinburgh', u'Glasgow'], [u'York', u'Blackpool', u'Manchester'], [u'Manchester', u'Sheffield'], [u'Bath', u'Cardiff'], u'Cardiff', u'London', u'London', u'London', u'London', u'London', u'London']"
07 Jun 2015,,"[[u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Tower Of London', u'Tate Modern'], [u'Trafalgar Square', u'Canary Wharf', u'London Aquarium', u'Tower Bridge'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Piccadilly Circus'], [u'St Pauls Cathedral', u'Harrods', u'Palace Of Westminster'], [u'Edinburgh Farmers Market', u'The Scott Monument', u'Palace Of Holyroodhouse', u'Buchanan Street'], [u'Edinburgh Castle', u'Calton Hill'], [u'Royal Yacht Britannia', u'Greyfriars Kirkyard', u'National Museum Of Scotland', u'Scotch Whisky Heritage Centre'], [u'Kelvingrove Art Gallery And Museum', u'Hopetoun House', u'Edinburgh Dungeon', u'Our Dynamic Earth'], [u'Royal Botanic Garden Edinburgh', u'Edinburgh Zoo', u'Scottish National Portrait Gallery'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Dublin Zoo', u'Dublin Castle', u'O-connell Street'], [u'Trinity College Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology', u'Temple Bar Company'], [u'National Museum Of Ireland Decorative Arts And History', u'The Governor And Co Of Bank Of Ireland', u'Grafton Street', u'Georgian Dublin'], [u'St Patricks Cathedral', u'National Gallery Of Ireland', u'Nassau Street', u'Henry Street']]",21 Jun 2015,"[u'London', u'London', u'London', u'London', u'London', [u'Edinburgh', u'Glasgow'], u'Edinburgh', u'Edinburgh', [u'Edinburgh', u'Glasgow'], u'Edinburgh', u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin']"
21 Jul 2015,524509eae705459f45000000,"[[u'Five Guys', u'Natural History Museum', u'British Museum', u'National Gallery', u'St Pauls Cathedral'], [u'Big Ben London', u'Buckingham Palace London', u'The London Eye', u'Burger and Lobster'], [u'The Royal Mile', u'Edinburgh Castle', u'The Scott Monument', u'Palace Of Holyroodhouse'], [u'Greyfriars Kirkyard', u'Our Dynamic Earth', u'Calton Hill', u'Scottish National Gallery'], [u'Manchester Museum', u'Manchester Townhall', u'Manchester Cathedral', u'The Lowry', u'Old Trafford'], [u'Stockport Air Raid Shelters', u'National Football Museum', u'The John Rylands Library', u'City Of Manchester Stadium Or Etihad Stadium', u'Castlefield'], [u'Bath Abbey', u'Sally Lunns Historic Museum And Eating House', u'The Circus And The Royal Crescent', u'Thermae Bath Spa'], [u'Prior Park', u'Roman Baths Museum', u'Pulteney Bridge', u'The Jane Austen Centre'], [u'Great Orme Copper Mine', u'The Great Orme', u'Great Orme Tramway', u'Mostyn Street', u'Llandudno Ski Slope'], [u'Llandudno Museum', u'Great Orme Cable Cars', u'Happy Valley'], [u'Anglesey Abbey', u'The Backs', u'University Of Cambridge', u'The Orchard Tea Garden', u'Botanic Garden- Cambridge University'], [u'The Piers Of Blackpool', u'Ripleys Believe It Or Not', u'Madame Tussauds Blackpool', u'Blackpool Zoo', u'The Blackpool Tower Dungeon'], [u'Cadbury World', u'Birmingham Botanical Gardens And Glasshouses', u'Library Of Birmingham', u'Pen Museum', u'National Sea Life Centre'], [u'Birmingham Hippodrome', u'Town Hall Birmingham', u'National Exhibition Centre Nec', u'Winterbourne House And Garden', u'Barber Institute Of Fine Arts'], [u'National Motorcycle Museum', u'Birmingham Wildlife Conservation Park', u'Baddesley Clinton'], [u'The Botanical Gardens', u'Tropical Butterfly House', u'Sheffield Winter Garden', u'Lyceum Theatre'], [u'Peveril Castle', u'Rother Valley Country Park', u'Sheffield Motorpoint Arena', u'Ecclesall Woods'], [u'National Emergency Services Museum', u'Sheffield And Tinsley Canal Trail', u'Christ Church Meadow', u'Bodleian Library'], [u'Oxford Covered Market', u'Oxford Castle', u'Ashmolean Museum Of Art And Archaeology', u'University Of Oxford Botanic Garden'], [u'Oxford University Museum Of Natural History', u'Oxford University Parks', u'University Church Of St. Mary The Virgin', u'Magdalen College', u'Uffington White Horse']]",09 Aug 2015,"[u'London', u'London', u'Edinburgh', u'Edinburgh', u'Manchester', u'Manchester', u'Bath', u'Bath', u'Llandudno', u'Llandudno', u'Cambridge', u'Blackpool', u'Birmingham', u'Birmingham', u'Birmingham', u'Sheffield', u'Sheffield', [u'Sheffield', u'Oxford'], u'Oxford', u'Oxford']"
19 Mar 2016,,"[[u'Buda Castle', u'Fishermans Bastion', u'Hungarian National Gallery'], [u'Museum Of Fine Arts', u'Szechenyi Medicinal Bath', u'Chain Bridge'], [u'St Stephens Cathedral', u'Wiener Riesenrad', u'Kunsthistorisches Museum'], [u'Hofburg Palace', u'Karntnerstrasse', u'St Peters Church'], [u'Naschmarkt', u'Schonbrunn Palace', u'Donauturm'], [u'St Peters Abbey', u'Helbrunn Castle', u'Mirabelle Palace And Gardens', u'Mozart Residence', u'Salzburg Cathedral'], [u'Marienplatz', u'Nymphenburg Palace', u'The Pinakothek Der Moderne'], [u'Dachau Concentration Camp', u'Karlsplatz', u'Munich Residenz'], [u'Asam Church', u'Englischer Garten', u'Hofbrauhaus', u'Olympic Stadium'], [u'Sexmuseum', u'Anne Frank House', u'Natura Artis Magistra', u'Amsterdam Canals', u'Arendsnest Beheer B.v.'], [u'Dam Square', u'Bloemenmarkt', u'Concertgebouw', u'House Of Bols, The Cocktail and Genever Experience', u'The Waterhole'], [u'Vondelpark', u'Jordaan Museum', u'Oude Kerk', u'Lombardos', u'Magere Brug'], [u'De Wallen', u'Stedelijk Museum Amsterdam', u'Leidseplein', u'Jordaan', u'Waterlooplein Flea Market'], [u'Nieuwmarkt Square', u'The Brown Cafes', u'Stedelijk Museum', u'Heineken Experience', u'Bazar Amsterdam'], [u'The Royal Mile', u'Edinburgh Castle'], [u'Scottish National Gallery', u'Scotch Whisky Heritage Centre', u'National Museum Of Scotland', u'Our Dynamic Earth'], [u'Palace Of Holyroodhouse', u'Greyfriars Kirkyard', u'The Nelson Monument', u'Royal Yacht Britannia'], [u'St Pauls Cathedral', u'Madame Tussauds Museum', u'Big Ben London', u'Tobacco Dock'], [u'Buckingham Palace London', u'The London Eye', u'Newcastle', u'Harrods'], [u'Tower Bridge', u'Natural History Museum', u'Piccadilly Circus']]",07 Apr 2016,"[u'Budapest', u'Budapest', u'Vienna', u'Vienna', u'Vienna', u'Salzburg', u'Munich', u'Munich', u'Munich', [u'Amsterdam', u'De Lier'], u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Edinburgh', u'Edinburgh', u'Edinburgh', u'London', u'London', u'London']"
23 May 2014,,"[[u'Palace Of Holyroodhouse'], [u'The Royal Mile', u'Edinburgh Castle'], [u'Scottish Mining Museum', u'Scottish National Gallery'], [u'Greyfriars Kirkyard']]",28 May 2014,"Edinburgh,Edinburgh,Edinburgh,Edinburgh"
13 May 2015,,"[[u'Phoenix Park', u'Dublin Castle', u'National Gallery Of Ireland'], [u'St Stephens Greens', u'Temple Bar Company', u'Trinity College Dublin', u'O-connell Street'], [u'General Post Office', u'Grafton Street', u'Kilmainham Gaol', u'Nassau Street'], [u'Guinness Storehouse', u'Dublin Zoo', u'Glendalough'], [u'National Museum Of Ireland Decorative Arts And History', u'The Governor And Co Of Bank Of Ireland', u'St Patricks Cathedral', u'Georgian Dublin'], [u'National Museum Of Ireland Archaeology', u'Henry Street'], [u'Edinburgh Farmers Market', u'The Scott Monument', u'Palace Of Holyroodhouse', u'Buchanan Street'], [u'Edinburgh Castle', u'Calton Hill'], [u'Royal Yacht Britannia', u'Greyfriars Kirkyard', u'National Museum Of Scotland', u'Scotch Whisky Heritage Centre'], [u'Our Dynamic Earth', u'Kelvingrove Art Gallery And Museum', u'Hopetoun House', u'Edinburgh Dungeon'], [u'Royal Botanic Garden Edinburgh', u'Edinburgh Zoo', u'Scottish National Portrait Gallery'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Westminster Abbey', u'Tate Modern', u'Piccadilly Circus'], [u'Trafalgar Square', u'Madame Tussauds Museum', u'Cutty Sark'], [u'Harrods', u'Tower Of London', u'Canary Wharf'], [u'Kensington Palace', u'The London Eye', u'Tower Bridge', u'Palace Of Westminster']]",28 May 2015,"[u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin', u'Dublin', [u'Edinburgh', u'Glasgow'], u'Edinburgh', u'Edinburgh', [u'Edinburgh', u'Glasgow'], u'Edinburgh', u'London', u'London', u'London', u'London', u'London']"
12 Dec 2015,,"[[u'Lindenhof', u'Landesmuseum', u'Fraumunster'], [u'Lake Promenade', u'Rietberg Museum'], [u'Limmat River', u'Schanzengraben', u'Grossmunster'], [u'Cafe Craft', u'Eiffel Tower'], [u'Angelina', u'Bateaux Parisiens River Cruise', u'Arc De Triomphe'], [u'Cafe Cinema Merci', u'Blue Bike Tours'], [u'La Madeleine Church', u'Bistrotters', u'Le Cinq'], [u'Pont Alexandre Iii', u'Disneyland', u'Champ De Mars', u'Centre Pompidou', u'Musee Des Arts Forains'], [u'The Palais Royal', u'Marais Square Of Vosges', u'Champs Elysees'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Tower Of London', u'The London Eye', u'Tate Modern'], [u'Trafalgar Square', u'Westminster Abbey', u'London Aquarium'], [u'The London Dungeon', u'London Transport Museum', u'Palace Of Westminster'], [u'Wellington Arch', u'Madame Tussauds Museum', u'Greenwich Park', u'Tower Bridge', u'Apsley House'], [u'St Pauls Cathedral', u'Tate Museum', u'Harrods'], [u'York Castle Museum', u'National Railway Museum'], [u'Cliffords Tower', u'Yorks Chocolate Story', u'Fairfax House'], [u'Edinburgh Farmers Market', u'Greyfriars Kirkyard', u'Edinburgh Castle'], [u'Scottish National Gallery', u'Our Dynamic Earth', u'The Royal Mile'], [u'Palace Of Holyroodhouse', u'The Nelson Monument', u'National Museum Of Scotland', u'St Peters Church']]",31 Dec 2015,"[u'Zurich', u'Zurich', u'Zurich', u'Paris', u'Paris', u'Paris', u'Paris', u'Paris', u'Paris', u'London', u'London', u'London', u'London', u'London', u'London', u'York', u'York', u'Edinburgh', u'Edinburgh', [u'Edinburgh', u'Zurich']]"
01 Sep 2016,,"[[u'National Gallery Of Ireland', u'Dublin Castle', u'O-connell Street'], [u'St Patricks Cathedral', u'St Stephens Greens', u'Trinity College Dublin', u'Kilmainham Gaol', u'Glendalough'], [u'Guinness Storehouse', u'General Post Office', u'Dublin Zoo', u'Temple Bar Company'], [u'Kilkenny Castle', u'Kells Augustinian Priory', u'Kilkenny Design Centre', u'Rothe House'], [u'Smithwick\\s Experience', u'St. John The Evangelist', u'St. Canice Cathedral'], [u'Dominican Black Abbey', u'Dunmore Cave', u'Moth To A Flame, Candle Studio', u'St Marys Cathedral', u'Jerpoint Glass Studio'], [u'English Market', u'Fitzgerald Park', u'Blarney Castle', u'St Finbarrs Cemetery'], [u'Cork Opera House', u'Spike Island'], [u'Mizen Vision', u'Ballycotton Cliff Walk'], [u'Muckross House', u'Ballyseedy Memorial', u'Gap Of Dunloe', u'Kirbys Brogue Inn', u'Killarney Methodist Church'], [u'Torc Mountain', u'Lakes Of Killarney', u'Wild Kerry Day Tours', u'Aghadoe Cathedral', u'St. Marys Cathedral'], [u'Ross Castle', u'The Kerry Way', u'Bin Ban Gallery', u'Killarney Grand Pub'], [u'Galway Atlantaquaria', u'Rathbaun Farm', u'St. Nicholas\\ Collegiate Church', u'Quay Street', u'Galway Cathedral'], [u'Connemara National Park', u'Galway City Museum'], [u'Dunguaire Castle', u'Hall Of The Red Earl', u'Eyre Square', u'Salthill Promenade'], [u'Dunfanaghy Stables', u'Doagh Famine Village', u'Donegal Castle'], [u'Glenevin Waterfall', u'Mamore Gap', u'Magee Tweeds', u'An Clachan Art And Craft Gallery'], [u'Solis Lough Eske Castle Hotel And Spa', u'Slieve League', u'The Looking Glass Spa Therapy', u'Abbey Of The Four Masters', u'The Daniel O\\donnell Visitor Centre Dungloe'], [u'Scottish Mining Museum', u'Glasgow Botanical Gardens', u'Arniston House', u'Royal Yacht Britannia'], [u'Stirling Castle', u'Edinburgh Zoo', u'Our Dynamic Earth', u'Edinburgh Dungeon']]",20 Sep 2016,"[u'Dublin', u'Dublin', u'Dublin', u'Kilkenny', u'Kilkenny', u'Kilkenny', u'Cork', u'Cork', u'Cork', [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], u'Galway', u'Galway', u'Galway', u'Donegal', u'Donegal', u'Donegal', [u'Edinburgh', u'Glasgow'], u'Edinburgh']"
07 Sep 2015,55af70edef616e761600009b,"[[u'Trafalgar Square', u'Westminster Abbey', u'Churchill War Rooms'], [u'National Gallery', u'Palace Of Westminster'], [u'Bath Abbey', u'Bute Park', u'The Jane Austen Centre', u'Holburne Museum'], [u'National Museum And Art Gallery', u'Prior Park', u'Mermaid Quay', u'Roman Baths Museum'], [u'Kings College Chapel', u'The Backs', u'Anglesey Abbey', u'Virtual Aviation Flight Training Centre', u'The Orchard Tea Garden'], [u'Market Square', u'Cambridge Corn Exchange', u'The Fitzwilliam Museum', u'The Centre For Computing History', u'Cambridge Arts Picturehouse'], [u'Big Ben London', u'Christ Church Meadow', u'Oxford Castle'], [u'University Of Oxford Botanic Garden', u'Oxford Covered Market', u'The London Eye'], [u'Haynes International Motor Museum', u'Torquay Museum', u'Big Wheel', u'Kents Cavern'], [u'Babbacombe', u'Living Coasts', u'Torquays Dinosaur World'], [u'Stanley Park', u'The Piers Of Blackpool', u'Comedy Carpet'], [u'Blackpool Zoo', u'Blackpool Tower', u'Blackpool Illuminations'], [u'Library Of Birmingham', u'Symphony Hall', u'Cadbury World'], [u'Birmingham Museum And Art Gallery', u'Birmingham Hippodrome'], [u'The Botanical Gardens', u'National Railway Museum', u'Tropical Butterfly House'], [u'The Shambles', u'Sheffield Winter Garden', u'Museum Of Science And Industry', u'York Minster'], [u'Scottish National Gallery', u'The Scott Monument', u'Scottish National Portrait Gallery', u'Greyfriars Kirkyard'], [u'Palace Of Holyroodhouse', u'Edinburgh Castle', u'National Museum Of Scotland'], [u'Musee D Orsay', u'Luxembourg Gardens'], [u'Towers Of Notre Dame Cathedral', u'Musee De L Orangerie', u'Eiffel Tower']]",26 Sep 2015,"[u'London', u'London', [u'Bath', u'Cardiff'], [u'Bath', u'Cardiff'], u'Cambridge', u'Cambridge', [u'London', u'Oxford'], [u'London', u'Oxford'], [u'Torquay', u'Bath'], u'Torquay', u'Blackpool', u'Blackpool', u'Birmingham', u'Birmingham', [u'York', u'Sheffield'], [u'Sheffield', u'York', u'Manchester'], u'Edinburgh', u'Edinburgh', u'Paris', u'Paris']"
01 Sep 2016,,"[[u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Hapenny Bridge', u'National Botanic Gardens '], [u'Dublin Zoo', u'National Gallery Of Ireland', u'Temple Bar Company', u'Moore St'], [u'Kilkenny Castle', u'Kells Augustinian Priory', u'Rothe House', u'Kilkenny Design Centre'], [u'Smithwick\\s Experience', u'St. John The Evangelist', u'St. Canice Cathedral'], [u'Dominican Black Abbey', u'Dunmore Cave', u'Moth To A Flame, Candle Studio', u'St Marys Cathedral', u'Jerpoint Glass Studio'], [u'English Market', u'Fitzgerald Park', u'Blarney Castle', u'St Finbarrs Cemetery'], [u'Cork Opera House', u'Spike Island'], [u'Mizen Vision', u'Ballycotton Cliff Walk'], [u'Muckross House', u'Ballyseedy Memorial', u'Gap Of Dunloe', u'Kirbys Brogue Inn', u'Killarney Methodist Church'], [u'Torc Mountain', u'Lakes Of Killarney', u'Wild Kerry Day Tours', u'Aghadoe Cathedral', u'St. Marys Cathedral'], [u'Bin Ban Gallery', u'The Kerry Way', u'Ross Castle', u'Killarney Grand Pub'], [u'Connemara National Park'], [u'Dolans Pub', u'Eyre Square', u'Salthill Promenade'], [u'Flannerys Bar', u'Limerick Racecourse', u'Quay Street'], [u'Dunfanaghy Stables', u'Doagh Famine Village', u'Donegal Castle'], [u'Mamore Gap', u'Abbey Of The Four Masters', u'Magee Tweeds', u'An Clachan Art And Craft Gallery'], [u'Solis Lough Eske Castle Hotel And Spa', u'Glenevin Waterfall', u'Slieve League', u'The Daniel O\\donnell Visitor Centre Dungloe', u'The Looking Glass Spa Therapy'], [u'Scottish Mining Museum', u'Glasgow Botanical Gardens', u'Arniston House', u'Royal Yacht Britannia'], [u'Stirling Castle', u'Edinburgh Zoo', u'Our Dynamic Earth', u'Edinburgh Dungeon']]",19 Sep 2016,"[u'Dublin', u'Dublin', u'Kilkenny', u'Kilkenny', u'Kilkenny', u'Cork', u'Cork', u'Cork', [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], u'Galway', [u'Limerick', u'Galway'], [u'Limerick', u'Galway'], u'Donegal', u'Donegal', u'Donegal', [u'Edinburgh', u'Glasgow'], u'Edinburgh']"
15 Aug 2015,,"[[u'Edinburgh Castle', u'Kelvingrove Art Gallery And Museum', u'Merchant City'], [u'Glasgow Botanical Gardens', u'The Horseshoe Bar', u'Sharmanka', u'Glasgow Cathedral'], [u'Palace Of Holyroodhouse', u'Greyfriars Kirkyard', u'Pollock Country Park'], [u'University Of Glasgow', u'Loch Lomond', u'The Royal Mile', u'Our Dynamic Earth'], [u'Scottish National Gallery', u'Glasgow Science Centre', u'The Rogano'], [u'National Museum Of Scotland', u'Edinburgh Zoo'], [u'Royal Yacht Britannia', u'Glasgow School Of Art', u'The Nelson Monument', u'Calton Hill'], [u'Scotch Whisky Heritage Centre', u'The Scott Monument', u'The Lighthouse', u'Mansfield Traquair Centre'], [u'Riverside Museum', u'Peoples Palace', u'Holmwood House'], [u'Scottish Mining Museum', u'Hopetoun House', u'Glasgow West End'], [u'Glasgow City Chambers', u'Hunterian Museum', u'The Wee Curry Shop'], [u'Scottish National Portrait Gallery', u'George Square', u'The Barras'], [u'Stirling Castle', u'Mitchell Library', u'Glasgow Necropolis', u'Buchanan Street'], [u'Edinburgh Farmers Market', u'Arniston House', u'Rouken Glen', u'Edinburgh Dungeon'], [u'House For An Art Lover'], [u'Royal Botanic Garden Edinburgh']]",30 Aug 2015,"[[u'Edinburgh', u'Glasgow'], u'Glasgow', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], u'Edinburgh', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], u'Glasgow', [u'Edinburgh', u'Glasgow'], u'Glasgow', [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], [u'Edinburgh', u'Glasgow'], u'Glasgow', u'Edinburgh']"
